region_brch,product_type_brch,collateral_agreement_id,collateral_agreement_type,collateral_amount,collateral_currency,facility_nr,as_of_dt,multiply_divide_ind,rate,customer_nr,entity,maturity_date,rec_ref_dt,source_system,start_date,from_currency,to_currency,lcy_to_hkd,deal_dt,collateral_amount_hke,Parameter name,description,recovery_time,haircut,forward_adjustment_factor,collateral_allocation_priority,collateral_secured_rank_for_ead_allocation,remark,post_haircut_coll_amt,post_ccf_base_amt_fac_level,allocated_collateral_amount,remaining_base_amt
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163874:4:2,P003,3157009.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270225,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,3157009.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1894205.4,4200000.0,1894205.4,2305794.6
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163874:11:2,P001,28781625.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270225,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,28781625.0,30,RESIDENTIAL PROPERTIES,0.5,0.4,HK RESIDENTIAL PPI,1,3,,17268975.0,4200000.0,17268975.0,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163875:5:0,G007,99999999999.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270324,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,99999999999.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,9999999999.899998,4200000.0,9999999999.899998,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163875:1:1,P003,2986360.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270324,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,2986360.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1791816.0,4200000.0,1791816.0,2408184.0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163875:2:1,P003,3157009.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270324,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,3157009.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1894205.4,4200000.0,1894205.4,2305794.6
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163875:7:1,P003,56058246.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270324,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,56058246.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,33634947.6,4200000.0,33634947.6,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163875:11:1,P003,4564864.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270324,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,4564864.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,2738918.4,4200000.0,2738918.4,1461081.6
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163875:10:1,P003,3157009.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270324,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,3157009.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1894205.4,4200000.0,1894205.4,2305794.6
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163875:6:0,G007,99999999999.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270324,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,99999999999.0,15,CORP/J&S/PARTNER/SOLE-PROP/PERSONAL,0.5,0.9,,1,3,,9999999999.899998,4200000.0,9999999999.899998,0
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163875:9:1,P003,3157009.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270324,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,3157009.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1894205.4,4200000.0,1894205.4,2305794.6
hk,PLEDGE_COLLATERAL,CLS:180000000000000003163875:3:1,P003,3157009.0,HKD,CLS:1000291471,2024-12-31,M,1.0,018:RM:1800000000000000000001270324,18,2025-01-31,2024-12-31,NX,2024-03-01,HKD,HKD,1.0,,3157009.0,32,INDUSTRIAL PROPERTIES,0.5,0.4,HK FLATTED FACTORIES PPI,8,3,,1894205.4,4200000.0,1894205.4,2305794.6
