timestamp,facility_nr,collateral_agreement_type,collateral_agreement_id,collateral_amount_hke,haircut,post_haircut_coll_amt,post_ccf_base_amt_fac_level,allocated_collateral_amount
20251124_180702,CLS:1000632489,G007,CLS:180000000000000001033373:3:0,99999999999.0,0.9,9999999999.899998,595000.0,9999999999.899998
20251124_180702,CLS:1000632489,P002,CLS:180000000000000001033373:1:1,43979724.0,0.4,26387834.4,595000.0,26387834.4
20251124_180702,CLS:0001519559,G007,CLS:180000000000000001033427:1:0,99999999999.0,0.9,9999999999.899998,229497.32,9999999999.899998
20251124_180702,CLS:0001519559,P002,CLS:180000000000000001033427:2:1,4969429.0,0.4,2981657.4,229497.32,2981657.4
20251124_180702,CLS:0001697142,P001,CLS:180000000000000001045271:1:1,6170606.0,0.4,3702363.6,2317270.77,3702363.6
20251124_180702,CLS:0001661998,P001,CLS:180000000000000001498335:9:1,7331149.0,0.4,4398689.399999999,369186.02,4398689.399999999
20251124_180702,CLS:0001661998,G007,CLS:180000000000000001498335:8:0,99999999999.0,0.9,9999999999.899998,369186.02,9999999999.899998
20251124_180702,CLS:0001661998,P002,CLS:180000000000000001498335:7:1,6602422.0,0.4,3961453.1999999997,369186.02,3961453.1999999997
20251124_180702,CLS:0001645693,P001,CLS:180000000000000001498341:1:2,200000000.0,0.4,120000000.0,,120000000.0
20251124_180702,CLS:1000302896,P005,CLS:180000000000000003174888:2:1,3776695.0,0.4,2266017.0,100000.0,2266017.0
20251124_180702,CLS:1000302896,P001,CLS:180000000000000003174888:6:1,2879730.0,0.4,1727838.0,100000.0,1727838.0
20251124_180702,CLS:1000302896,P003,CLS:180000000000000003174888:9:1,12240772.0,0.4,7344463.2,100000.0,7344463.2
20251124_180702,CLS:1000302896,P001,CLS:180000000000000003174888:3:1,2643687.0,0.4,1586212.2,100000.0,1586212.2
20251124_180702,CLS:1000302896,P003,CLS:180000000000000003174888:10:1,9973963.0,0.4,5984377.8,100000.0,5984377.8
20251124_180702,CLS:1000302896,P001,CLS:180000000000000003174888:7:1,3210191.0,0.4,1926114.5999999999,100000.0,1926114.5999999999
20251124_180702,CLS:1000302896,P001,CLS:180000000000000003174888:8:1,17939305.0,0.4,10763583.0,100000.0,10763583.0
20251124_180702,CLS:1000302896,P001,CLS:180000000000000003174888:4:1,2643687.0,0.4,1586212.2,100000.0,1586212.2
20251124_180702,CLS:1000302896,G007,CLS:180000000000000003174888:1:0,99999999999.0,0.9,9999999999.899998,100000.0,9999999999.899998
20251124_180702,CLS:1000302896,P001,CLS:180000000000000003174888:5:1,2879730.0,0.4,1727838.0,100000.0,1727838.0
20251124_180702,CLS:0001681328,P005,CLS:180000000000000003174920:4:2,1195479.0,0.4,717287.4,1257940.0,717287.4
20251124_180702,CLS:0001681323,P005,CLS:180000000000000003174920:4:2,1195479.0,0.4,717287.4,,0.0
20251124_180702,CLS:0001681328,P005,CLS:180000000000000003174920:5:2,1693595.0,0.4,1016157.0,1257940.0,1016157.0
20251124_180702,CLS:0001681323,P005,CLS:180000000000000003174920:5:2,1693595.0,0.4,1016157.0,,0.0
20251124_180702,CLS:0001681328,P002,CLS:180000000000000003174920:1:2,17199890.0,0.4,10319934.0,1257940.0,10319934.0
20251124_180702,CLS:0001681323,P002,CLS:180000000000000003174920:1:2,17199890.0,0.4,10319934.0,,0.0
20251124_180702,CLS:0001681328,P003,CLS:180000000000000003174920:7:2,53265481.0,0.4,31959288.599999998,1257940.0,31959288.599999998
20251124_180702,CLS:0001681323,P003,CLS:180000000000000003174920:7:2,53265481.0,0.4,31959288.599999998,,0.0
20251124_180702,CLS:0001681328,P005,CLS:180000000000000003174920:3:2,1195479.0,0.4,717287.4,1257940.0,717287.4
20251124_180702,CLS:0001681323,P005,CLS:180000000000000003174920:3:2,1195479.0,0.4,717287.4,,0.0
20251124_180702,CLS:0001681328,P005,CLS:180000000000000003174920:2:2,1843030.0,0.4,1105818.0,1257940.0,1105818.0
20251124_180702,CLS:0001681323,P005,CLS:180000000000000003174920:2:2,1843030.0,0.4,1105818.0,,0.0
20251124_180702,CLS:0001681328,P003,CLS:180000000000000003174920:8:2,28085435.0,0.4,16851261.0,1257940.0,16851261.0
20251124_180702,CLS:0001681323,P003,CLS:180000000000000003174920:8:2,28085435.0,0.4,16851261.0,,0.0
20251124_180702,CLS:0001681328,P005,CLS:180000000000000003174920:6:2,1693595.0,0.4,1016157.0,1257940.0,1016157.0
20251124_180702,CLS:0001681323,P005,CLS:180000000000000003174920:6:2,1693595.0,0.4,1016157.0,,0.0
20251124_180702,CLS:1000451267,P002,CLS:180000000000000001033704:2:1,13486354.0,0.4,8091812.399999999,80000000.0,8091812.399999999
20251124_180702,CLS:1000451267,G007,CLS:180000000000000001033704:3:0,99999999999.0,0.9,9999999999.899998,80000000.0,9999999999.899998
20251124_180702,CLS:1000451267,G007,CLS:180000000000000001033704:4:0,99999999999.0,0.9,9999999999.899998,80000000.0,9999999999.899998
20251124_180702,CLS:1000451267,G007,CLS:180000000000000001033704:1:0,99999999999.0,0.9,9999999999.899998,80000000.0,9999999999.899998
20251124_180702,CLS:0001582899,P001,CLS:180000000000000001036539:1:1,57155955.0,0.4,34293573.0,17235488.91,34293573.0
20251124_180702,CLS:0001702182,P001,CLS:180000000000000001039750:1:1,4885202.0,0.4,2931121.1999999997,1947222.65,2931121.1999999997
20251124_180702,CLS:1000628697,G007,CLS:180000000000000001252637:31:0,99999999999.0,0.9,9999999999.899998,89220.09,9999999999.899998
20251124_180702,CLS:1000314739,G007,CLS:180000000000000003179426:5:0,99999999999.0,0.9,9999999999.899998,1599200.15,9999999999.899998
20251124_180702,CLS:1000314739,P002,CLS:180000000000000003179426:2:1,4402009.0,0.4,2641205.4,1599200.15,2641205.4
20251124_180702,CLS:0001688245,P001,CLS:180000000000000001045838:1:1,1973376.0,0.4,1184025.5999999999,624700.06,1184025.5999999999
20251124_180702,CLS:0001481780,P001,CLS:180000000000000001031107:1:1,4302727.0,0.4,2581636.1999999997,474369.8,2581636.1999999997
20251124_180702,CLS:1000204060,G007,CLS:180000000000000003136325:1:0,99999999999.0,0.9,9999999999.899998,1000000.0,9999999999.899998
20251124_180702,CLS:1000297152,P001,CLS:180000000000000003172028:1:2,16591254.0,0.4,9954752.4,500000.0,9954752.4
20251124_180702,CLS:1000298572,P001,CLS:180000000000000001037261:7:1,6451261.0,0.4,3870756.5999999996,3255839.17,3870756.5999999996
20251124_180702,CLS:1000298572,G007,CLS:180000000000000001037261:6:0,99999999999.0,0.9,9999999999.899998,3255839.17,9999999999.899998
20251124_180702,CLS:1000297152,P005,CLS:180000000000000003171929:2:1,1059996.0,0.4,635997.6,500000.0,635997.6
20251124_180702,CLS:1000297152,G007,CLS:180000000000000003171929:1:0,99999999999.0,0.9,9999999999.899998,500000.0,9999999999.899998
20251124_180702,CLS:1000307383,P001,CLS:180000000000000003177405:1:1,3694437.0,0.4,2216662.1999999997,781108.22,2216662.1999999997
20251124_180702,CLS:0001605169,P001,CLS:180000000000000001037304:1:1,7941887.0,0.4,4765132.2,1046852.45,4765132.2
20251124_180702,CLS:0001703791,P001,CLS:180000000000000001046364:1:1,4948681.0,0.4,2969208.6,1944016.68,2969208.6
20251124_180702,CLS:1000220239,P005,CLS:180000000000000001028869:1:1,1456928.0,0.4,874156.7999999999,318851.69,874156.7999999999
20251124_180702,CLS:0001484408,P005,CLS:180000000000000001031694:3:1,885554.0,0.4,531332.4,31707.71,531332.4
20251124_180702,CLS:0001487464,P001,CLS:180000000000000001031791:1:1,8788893.0,0.4,5273335.8,2017794.13,5273335.8
20251124_180702,CLS:0001706169,P002,CLS:180000000000000001046812:1:1,2370771.0,0.4,1422462.5999999999,748550.54,1422462.5999999999
20251124_180702,CLS:1000252701,G007,CLS:180000000000000003145752:1:0,99999999999.0,0.9,9999999999.899998,2000000.0,9999999999.899998
20251124_180702,CLS:1000309861,P001,CLS:180000000000000003177864:1:1,4496136.0,0.4,2697681.6,2960748.68,2697681.6
20251124_180702,CLS:0001677038,P001,CLS:180000000000000001042411:1:1,8840665.0,0.4,5304399.0,1898298.09,5304399.0
20251124_180702,CLS:0001658942,P001,CLS:180000000000000001042502:1:1,3387121.0,0.4,2032272.5999999999,1197081.37,2032272.5999999999
20251124_180702,CLS:0001703899,P001,CLS:180000000000000001046959:1:1,63095689.0,0.4,37857413.4,24225450.07,37857413.4
20251124_180702,CLS:1000255764,P001,CLS:180000000000000003151842:2:1,4376298.0,0.4,2625778.8,1140000.0,2625778.8
20251124_180702,CLS:1000255764,P001,CLS:180000000000000003151842:3:1,4541441.0,0.4,2724864.6,1140000.0,2724864.6
