REGION_BRCH,PRODUCT_TYPE_BRCH,COLLATERAL_AGREEMENT_ID,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_AMOUNT,COLLATERAL_CURRENCY,FACILITY_NR,AS_OF_DT,MULTIPLY_DIVIDE_IND,RATE,CUSTOMER_NR,ENTITY,MATURITY_DATE,REC_REF_DT,SOURCE_SYSTEM,START_DATE,FROM_CURRENCY,TO_CURRENCY,LCY_TO_HKD,DEAL_DT
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:7:0,O009,1,GBP,CLS:1000624531,31DEC2024:00:00:00,M,9.74136671,018:RM:1800000000000000000001378044,18,30JUL2025:00:00:00,31DEC2024:00:00:00,NX,16JUL2021:00:00:00,GBP,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:3:0,G007,40000000,GBP,CLS:1000624531,31DEC2024:00:00:00,M,9.74136671,018:RM:1800000000000000000001378044,18,30JUL2025:00:00:00,31DEC2024:00:00:00,NX,16JUL2021:00:00:00,GBP,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:1:0,G007,40000000,GBP,CLS:1000624531,31DEC2024:00:00:00,M,9.74136671,018:RM:1800000000000000000001378044,18,30JUL2025:00:00:00,31DEC2024:00:00:00,NX,16JUL2021:00:00:00,GBP,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:2:0,G007,40000000,GBP,CLS:1000624531,31DEC2024:00:00:00,M,9.74136671,018:RM:1800000000000000000001378044,18,30JUL2025:00:00:00,31DEC2024:00:00:00,NX,16JUL2021:00:00:00,GBP,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:4:0,O009,1,GBP,CLS:1000624531,31DEC2024:00:00:00,M,9.74136671,018:RM:1800000000000000000001378044,18,30JUL2025:00:00:00,31DEC2024:00:00:00,NX,16JUL2021:00:00:00,GBP,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:6:0,O009,1,GBP,CLS:1000624531,31DEC2024:00:00:00,M,9.74136671,018:RM:1800000000000000000001378044,18,30JUL2025:00:00:00,31DEC2024:00:00:00,NX,16JUL2021:00:00:00,GBP,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:5:0,O009,1,GBP,CLS:1000624531,31DEC2024:00:00:00,M,9.74136671,018:RM:1800000000000000000001378044,18,30JUL2025:00:00:00,31DEC2024:00:00:00,NX,16JUL2021:00:00:00,GBP,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300589:8:1,P001,40909803,GBP,CLS:1000624531,31DEC2024:00:00:00,M,9.74136671,018:RM:1800000000000000000001378044,18,30JUL2025:00:00:00,31DEC2024:00:00:00,NX,16JUL2021:00:00:00,GBP,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003292461:1:1,P001,2871966,HKD,CLS:1000608377,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001346013,18,21APR2051:00:00:00,31DEC2024:00:00:00,NX,21APR2021:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003295791:1:1,P001,6646610,HKD,CLS:1000616288,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001363938,18,28JUN2051:00:00:00,31DEC2024:00:00:00,NX,28JUN2021:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003287489:1:1,P001,3439437,HKD,CLS:1000597315,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001330775,18,13JAN2051:00:00:00,31DEC2024:00:00:00,NX,13JAN2021:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003294241:1:0,O010,1895309,HKD,CLS:1000612555,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001343971,18,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,22MAY2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003291057:3:1,P003,4511726,HKD,CLS:1000291423,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001344935,18,31JAN2025:00:00:00,31DEC2024:00:00:00,NX,29JAN2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003296046:2:1,P001,3840264,HKD,CLS:1000617042,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001367055,18,05JUL2051:00:00:00,31DEC2024:00:00:00,NX,05JUL2021:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300883:1:0,G007,99999999999,HKD,CLS:1000632489,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001376176,18,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,09DEC2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300884:2:0,G007,99999999999,HKD,CLS:1000632489,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001375868,18,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,09DEC2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300885:2:0,G007,99999999999,HKD,CLS:1000632489,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001376673,18,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,09DEC2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003300886:2:0,G007,99999999999,HKD,CLS:1000632489,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001376626,18,31MAY2025:00:00:00,31DEC2024:00:00:00,NX,09DEC2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282693:2:1,P001,4887432,HKD,CLS:1000588392,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001308134,18,30SEP2025:00:00:00,31DEC2024:00:00:00,NX,18NOV2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282693:3:1,P001,14466800,HKD,CLS:1000588392,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001308134,18,30SEP2025:00:00:00,31DEC2024:00:00:00,NX,18NOV2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003282693:1:0,G007,99999999999,HKD,CLS:1000588392,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001308134,18,30SEP2025:00:00:00,31DEC2024:00:00:00,NX,18NOV2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003286038:2:1,P001,5760396,HKD,CLS:1000646356,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001330208,18,26JAN2027:00:00:00,31DEC2024:00:00:00,NX,26JAN2022:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003164938:2:0,G007,99999999999,HKD,CLS:1000291423,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001268111,18,31JAN2025:00:00:00,31DEC2024:00:00:00,NX,29JAN2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003164938:1:1,P001,36136645,HKD,CLS:1000291423,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001268111,18,31JAN2025:00:00:00,31DEC2024:00:00:00,NX,29JAN2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003164938:5:1,P001,9016093,HKD,CLS:1000291423,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001268111,18,31JAN2025:00:00:00,31DEC2024:00:00:00,NX,29JAN2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003164938:7:1,P003,3929277,HKD,CLS:1000291423,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001268111,18,31JAN2025:00:00:00,31DEC2024:00:00:00,NX,29JAN2024:00:00:00,HKD,HKD,1,
hk,PLEDGE_COLLATERAL,CLS:180000000000000003164938:4:0,G007,99999999999,HKD,CLS:1000291423,31DEC2024:00:00:00,M,1,018:RM:1800000000000000000001268111,18,31JAN2025:00:00:00,31DEC2024:00:00:00,NX,29JAN2024:00:00:00,HKD,HKD,1,
