REGION_BRCH,PRODUCT_TYPE_BRCH,AS_OF_DT,ENTITY,SOURCE_SYSTEM,ACCT_ID,SCHED_ID,SCHED_START_DT,SCHED_END_DT,FIRST_DUE_DT,NOF_PMT,INSTL_FLAT_AMT,PMT_FREQ,PMT_INCR,PMT_TYP_CD,PMT_DAY,SKP_PMT_MTH,REC_REF_DT
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016395954,B01A,29JAN2025:00:00:00,31OCT2025:00:00:00,31OCT2025:00:00:00,1,0.0,M,1,I,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016395954,B02A,04JAN2022:00:00:00,31OCT2025:00:00:00,31OCT2025:00:00:00,1,2570000.0,M,1,P,31,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016400778,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016400778,B02A,20JAN2022:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,3620000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016424474,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016424474,B02A,16MAY2022:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,4720000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016406288,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016406288,B02A,18FEB2022:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,700000.0,M,1,P,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016446591,B01A,31DEC2024:00:00:00,28JAN2025:00:00:00,28JAN2025:00:00:00,1,0.0,M,1,I,28,0,31DEC2024:00:00:00
hk,BILL_SCHEDULE,31DEC2024:00:00:00,18,ALS,ALS:18100744000000000016446591,B01A,29JAN2025:00:00:00,30MAY2025:00:00:00,30MAY2025:00:00:00,1,0.0,M,1,I,30,0,31DEC2024:00:00:00
