COLLATERAL_AGREEMENT_ID,FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_AMOUNT,COLLATERAL_CURRENCY,AS_OF_DT,COMMIT_INDICATOR,CCF,DRAWN_AMOUNT,UNDRAWN_AMOUNT
CLS:180000000000000001018068:2:0,CLS:0001376797,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,78932.36,0.0
CLS:180000000000000001018068:2:0,CLS:0001374878,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,74393.96,0.0
CLS:180000000000000001018068:2:0,CLS:0001378794,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,76459.77,0.0
CLS:180000000000000001018068:3:1,CLS:0001376797,P003,4559088,HKD,31DEC2024:00:00:00,Y,20.0,78932.36,0.0
CLS:180000000000000001018068:4:1,CLS:0001376992,P003,4844032,HKD,31DEC2024:00:00:00,Y,20.0,76802.75,0.0
CLS:180000000000000001018068:5:1,CLS:0001377253,P003,4559088,HKD,31DEC2024:00:00:00,Y,20.0,77052.02,0.0
CLS:180000000000000001018068:6:1,CLS:0001378794,P003,3989202,HKD,31DEC2024:00:00:00,Y,20.0,76459.77,0.0
CLS:180000000000000001018070:1:1,CLS:0001374928,P001,3943206,HKD,31DEC2024:00:00:00,Y,20.0,189657.77,0.0
CLS:180000000000000001018071:1:1,CLS:0001374893,P001,4179326,HKD,31DEC2024:00:00:00,Y,20.0,200573.02,0.0
CLS:180000000000000001018072:1:1,CLS:0001374929,P001,4037654,HKD,31DEC2024:00:00:00,Y,20.0,193978.4,0.0
CLS:180000000000000001018074:1:0,CLS:0001383591,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,3579378.99,0.0
CLS:180000000000000001018074:2:1,CLS:0001383591,P001,27617088,HKD,31DEC2024:00:00:00,Y,20.0,3579378.99,0.0
CLS:180000000000000001018076:1:1,CLS:0001380589,P001,10389285,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001018076:2:1,CLS:0001380589,P001,8028084,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001018096:1:1,CLS:0001375855,P001,2833023,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001018208:1:1,CLS:0001375973,P001,3847760,HKD,31DEC2024:00:00:00,Y,20.0,97207.93,0.0
CLS:180000000000000001018208:2:0,CLS:0001375973,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,97207.93,0.0
CLS:180000000000000001018289:1:1,CLS:0001379275,P001,5794820,HKD,31DEC2024:00:00:00,Y,20.0,926655.08,0.0
CLS:180000000000000001018332:1:1,CLS:0001377281,P001,8220357,HKD,31DEC2024:00:00:00,Y,20.0,8288.57,0.0
CLS:180000000000000001018332:2:0,CLS:0001377281,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,8288.57,0.0
CLS:180000000000000001018344:1:1,CLS:0001375955,P001,3940478,HKD,31DEC2024:00:00:00,Y,20.0,400652.24,0.0
CLS:180000000000000001018352:1:1,CLS:0001376380,P001,3592788,HKD,31DEC2024:00:00:00,Y,20.0,207770.74,0.0
CLS:180000000000000001018360:1:1,CLS:0001378898,P001,16804980,HKD,31DEC2024:00:00:00,Y,20.0,903002.59,0.0
CLS:180000000000000001018362:1:1,CLS:0001376168,P001,5440059,HKD,31DEC2024:00:00:00,Y,20.0,461385.24,0.0
CLS:180000000000000001018365:1:1,CLS:0001377259,P001,88869653,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001018365:2:0,CLS:0001377259,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001018391:1:1,CLS:0001375759,P001,12493633,HKD,31DEC2024:00:00:00,Y,20.0,875969.48,0.0
CLS:180000000000000001018400:1:1,CLS:0001377003,P001,9549864,HKD,31DEC2024:00:00:00,Y,20.0,1515753.76,0.0
CLS:180000000000000001018407:1:1,CLS:0001376997,P001,3082844,HKD,31DEC2024:00:00:00,Y,20.0,342240.85,0.0
CLS:180000000000000001018412:1:1,CLS:0001380984,P002,109289826,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001018412:2:0,CLS:0001380984,G007,33000000,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001018431:1:1,CLS:0001425684,P001,18895595,HKD,31DEC2024:00:00:00,Y,20.0,269390.26,0.0
CLS:180000000000000001018431:1:1,CLS:0001380384,P001,18895595,HKD,31DEC2024:00:00:00,Y,20.0,4141749.08,0.0
CLS:180000000000000001018431:2:0,CLS:0001425684,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,269390.26,0.0
CLS:180000000000000001018431:2:0,CLS:0001380384,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,4141749.08,0.0
CLS:180000000000000001018466:1:1,CLS:0001376160,P001,3778223,HKD,31DEC2024:00:00:00,Y,20.0,212206.08,0.0
CLS:180000000000000001018524:1:1,CLS:0001379492,P001,10793678,HKD,31DEC2024:00:00:00,Y,20.0,1142379.14,0.0
CLS:180000000000000001018565:1:1,CLS:0001377269,P001,10082988,HKD,31DEC2024:00:00:00,Y,20.0,547995.78,0.0
CLS:180000000000000001018595:1:1,CLS:0001377270,P001,28464159,HKD,31DEC2024:00:00:00,Y,20.0,3161089.24,0.0
CLS:180000000000000001018642:1:1,CLS:0001408340,P001,60652766,HKD,31DEC2024:00:00:00,Y,20.0,1798050.39,0.0
CLS:180000000000000001018642:1:1,CLS:0001393178,P001,60652766,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001018642:1:1,CLS:0001383471,P001,60652766,HKD,31DEC2024:00:00:00,Y,20.0,1765870.83,0.0
