FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,DRAWN_AMOUNT,AS_OF_DT,UNDRAWN_AMOUNT,COLLATERAL_AGREEMENT_ID,COLLATERAL_CURRENCY,COLLATERAL_VALUE_POST_HAIRCUT,EAD_POST_CCF,ALLOCATED_COLLATERAL_ON,ALLOCATED_COLLATERAL_OFF,ON_OFF_IND,CUR_BAL,DEAL_ID,CUR_RT,FAC_CUR_BAL,PORTION,DEAL_ALLOCATED_COLLATERAL_ON,DEAL_ALLOCATED_COLLATERAL_OFF
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,20418.48,IMEX:894333144617:001:Finance:INDI::EUR,5.04367,1448038.6,0.014100784329920485,27516.89380449453,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,225288.37,IMEX:894333145304:001:Finance:INDI::USD,6.70924,1448038.6,0.1555817434700981,303609.09101351677,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,64018.59,IMEX:894333146447:001:Finance:INDI::USD,6.62521,1448038.6,0.04421055488437946,86274.43093430439,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,58654.82,IMEX:894333150896:001:Finance:INDI::EUR,4.94367,1448038.6,0.04050639257820889,79045.96488385726,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,47658.09,IMEX:894333152108:001:Finance:INDI::USD,6.54468,1448038.6,0.032912168225349786,64226.25981243671,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,87265.98,IMEX:894333152572:001:Finance:INDI::USD,6.59417,1448038.6,0.06026495426295956,117603.69549570505,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,337419.29,IMEX:894333153214:001:Finance:INDI::USD,6.57844,1448038.6,0.23301815987501986,454721.93672192754,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,95333.76,IMEX:894333154598:001:Finance:INDI::USD,6.54545,1448038.6,0.06583647701104099,128476.21125094367,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,31909.63,IMEX:894333154829:001:Finance:INDI::USD,6.54545,1448038.6,0.022036449857068728,43002.90227532671,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,33774.61,IMEX:894333154847:001:Finance:INDI::EUR,4.938,1448038.6,0.02332438513724703,45516.236108575125,0.0
CLS:0001405104,T003,87230010.91,31DEC2024:00:00:00,93769989.09,CLS:180000000000000000101793:3:0,USD,26875334,152869003.273,1951444.200597152,1468426.1717217423,N,63940.23,IMEX:894333156774:001:Finance:INDI::USD,6.15406,1448038.6,0.044156440304837175,86168.82935188885,0.0
